order_id,date,product_category,sales_amount,quantity,payment_method,customer_rating,month,day_of_week,total_revenue
1001,2025-04-13,Unknown,323.84,1,PayPal,4,Apr,Sunday,323.84
1002,2025-12-15,Unknown,137.13,4,PayPal,3,Dec,Monday,548.52
1003,2025-09-28,Unknown,51.48,5,Credit Card,2,Sep,Sunday,257.4
1004,2025-04-17,Unknown,68.44,1,Debit Card,3,Apr,Thursday,68.44
1005,2025-03-13,Unknown,120.05,5,Debit Card,1,Mar,Thursday,600.25
1006,2025-07-08,Unknown,255.1,2,PayPal,3,Jul,Tuesday,510.2
1007,2025-01-21,Unknown,421.82,3,Credit Card,2,Jan,Tuesday,1265.46
1008,2025-04-13,Unknown,353.63,5,PayPal,2,Apr,Sunday,1768.15
1009,2025-05-02,Unknown,396.63,4,PayPal,4,May,Friday,1586.52
1010,2025-08-03,Unknown,181.98,5,PayPal,1,Aug,Sunday,909.9
1011,2025-11-27,Beauty,208.28,5,Credit Card,5,Nov,Thursday,1041.4
1012,2025-03-29,Clothing,202.9,5,UPI,4,Mar,Saturday,1014.5
1013,2025-04-10,Clothing,104.02,5,Credit Card,3,Apr,Thursday,520.1
1014,2025-12-26,Home & Kitchen,40.0,4,PayPal,3,Dec,Friday,160.0
1015,2025-06-01,Beauty,299.55,4,UPI,2,Jun,Sunday,1198.2
1016,2025-05-11,Sports,494.72,5,PayPal,2,May,Sunday,2473.6000000000004
1017,2025-05-30,Clothing,91.75,3,Credit Card,2,May,Friday,275.25
1018,2025-11-05,Home & Kitchen,32.88,5,Credit Card,5,Nov,Wednesday,164.4
1019,2025-09-15,Beauty,391.97,4,UPI,5,Sep,Monday,1567.88
1020,2025-12-10,Beauty,133.77,2,Credit Card,4,Dec,Wednesday,267.54
1021,2025-10-21,Electronics,416.53,5,PayPal,5,Oct,Tuesday,2082.6499999999996
1022,2025-07-11,Electronics,354.93,5,UPI,2,Jul,Friday,1774.65
1023,2025-10-04,Clothing,473.38,5,Debit Card,4,Oct,Saturday,2366.9
1024,2025-06-10,Electronics,210.37,5,PayPal,4,Jun,Tuesday,1051.85
1025,2025-11-10,Clothing,334.37,1,Debit Card,1,Nov,Monday,334.37
1026,2025-01-22,Sports,237.78,5,UPI,5,Jan,Wednesday,1188.9
1027,2025-09-10,Clothing,318.99,4,UPI,3,Sep,Wednesday,1275.96
1028,2025-08-24,Electronics,230.3,4,PayPal,3,Aug,Sunday,921.2
1029,2025-12-11,Sports,102.43,1,Credit Card,1,Dec,Thursday,102.43
1030,2025-02-18,Electronics,258.87,5,PayPal,2,Feb,Tuesday,1294.35
1031,2025-02-28,Clothing,269.01,3,Credit Card,1,Feb,Friday,807.03
1032,2025-06-19,Home & Kitchen,407.2,5,Credit Card,2,Jun,Thursday,2036.0
1033,2025-07-07,Beauty,370.41,4,PayPal,5,Jul,Monday,1481.64
1034,2025-09-28,Electronics,335.26,2,UPI,5,Sep,Sunday,670.52
1035,2025-07-09,Clothing,65.56,2,PayPal,4,Jul,Wednesday,131.12
1036,2025-06-24,Sports,363.1,3,Debit Card,4,Jun,Tuesday,1089.3000000000002
1037,2025-02-20,Electronics,255.15,5,UPI,4,Feb,Thursday,1275.75
1038,2025-12-30,Electronics,448.11,1,Credit Card,4,Dec,Tuesday,448.11
1039,2025-02-24,Beauty,460.74,5,UPI,3,Feb,Monday,2303.7
1040,2025-09-01,Clothing,37.03,3,PayPal,4,Sep,Monday,111.09
1041,2025-11-16,Home & Kitchen,412.11,3,UPI,4,Nov,Sunday,1236.33
1042,2025-05-11,Sports,28.47,3,Credit Card,4,May,Sunday,85.41
1043,2025-11-03,Clothing,189.91,2,Credit Card,2,Nov,Monday,379.82
1044,2025-05-15,Sports,275.73,5,UPI,4,May,Thursday,1378.65
1045,2025-01-21,Electronics,82.57,5,Debit Card,1,Jan,Tuesday,412.84999999999997
1046,2025-11-25,Beauty,375.69,1,Credit Card,4,Nov,Tuesday,375.69
1047,2025-06-16,Beauty,14.09,3,Debit Card,4,Jun,Monday,42.269999999999996
1048,2025-10-01,Home & Kitchen,92.61,3,Credit Card,3,Oct,Wednesday,277.83
1049,2025-03-30,Beauty,294.59,4,UPI,4,Mar,Sunday,1178.36
1050,2025-11-12,Electronics,360.05,4,Credit Card,2,Nov,Wednesday,1440.2
1051,2025-01-14,Home & Kitchen,459.16,2,Debit Card,5,Jan,Tuesday,918.32
1052,2025-08-30,Clothing,355.69,5,Debit Card,4,Aug,Saturday,1778.45
1053,2025-09-22,Beauty,339.17,1,UPI,4,Sep,Monday,339.17
1054,2025-12-12,Home & Kitchen,203.23,1,Debit Card,4,Dec,Friday,203.23
1055,2025-02-22,Electronics,10.63,3,Debit Card,3,Feb,Saturday,31.89
1056,2025-12-06,Sports,68.88,1,UPI,5,Dec,Saturday,68.88
1057,2025-04-02,Sports,271.93,3,Credit Card,3,Apr,Wednesday,815.79
1058,2025-09-21,Electronics,340.81,5,UPI,3,Sep,Sunday,1704.05
1059,2025-02-04,Electronics,214.55,1,Credit Card,3,Feb,Tuesday,214.55
1060,2025-07-25,Sports,368.03,3,Credit Card,2,Jul,Friday,1104.09
1061,2025-03-22,Home & Kitchen,265.71,5,Credit Card,5,Mar,Saturday,1328.55
1062,2025-02-19,Sports,46.35,5,PayPal,2,Feb,Wednesday,231.75
1063,2025-12-26,Electronics,104.09,3,Credit Card,2,Dec,Friday,312.27
1064,2025-01-02,Beauty,421.6,3,UPI,5,Jan,Thursday,1264.8000000000002
1065,2025-02-23,Clothing,365.21,2,UPI,2,Feb,Sunday,730.42
1066,2025-04-16,Beauty,448.43,5,UPI,5,Apr,Wednesday,2242.15
1067,2025-09-17,Beauty,67.6,3,PayPal,4,Sep,Wednesday,202.79999999999998
1068,2025-11-06,Electronics,495.21,5,Debit Card,3,Nov,Thursday,2476.0499999999997
1069,2025-07-10,Sports,112.61,1,PayPal,2,Jul,Thursday,112.61
1070,2025-08-06,Home & Kitchen,15.77,4,UPI,5,Aug,Wednesday,63.08
1071,2025-02-13,Beauty,498.74,4,UPI,1,Feb,Thursday,1994.96
1072,2025-06-11,Sports,147.73,3,Debit Card,2,Jun,Wednesday,443.18999999999994
1073,2025-07-21,Home & Kitchen,337.33,3,PayPal,2,Jul,Monday,1011.99
1074,2025-09-27,Beauty,96.57,5,UPI,5,Sep,Saturday,482.84999999999997
